OrderID,OrderDate,CustomerID,CustomerName,Region,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Profit
100001,2025-11-24,CUST0015,Customer_15,Central,P932,Bluetooth Speaker,Electronics,4,106.66,0.15,362.64,117.06
100002,2025-01-16,CUST0012,Customer_12,Central,P519,Standing Desk,Furniture,9,274.09,0.1,2220.13,740.76
100003,2025-05-23,CUST0001,Customer_1,East,P566,Filing Cabinet,Furniture,6,130.82,0,784.92,165.38
100004,2025-07-03,CUST0045,Customer_45,West,P033,Notebook Pack,Stationery,12,211.07,0,2532.84,523.59
100005,2025-11-18,CUST0080,Customer_80,East,P139,Marker Pack,Stationery,4,319.42,0,1277.68,363.74
100006,2025-02-21,CUST0049,Customer_49,South,P361,Whiteboard,Stationery,11,376.68,0,4143.48,1481.11
100007,2025-12-16,CUST0010,Customer_10,Central,P471,Desk Lamp,Furniture,12,116.21,0.05,1324.79,425.51
100008,2025-01-29,CUST0030,Customer_30,Central,P932,Bluetooth Speaker,Electronics,7,126.34,0,884.38,196.08
100009,2025-12-02,CUST0064,Customer_64,Central,P272,Jacket,Apparel,3,125.08,0,375.24,98.97
100010,2025-10-26,CUST0052,Customer_52,North,P865,Pen Set,Stationery,3,233.21,0,699.63,182.64
100011,2025-12-15,CUST0055,Customer_55,Central,P381,Laptop Stand,Electronics,7,271.38,0.05,1804.68,508.58
100012,2025-02-28,CUST0069,Customer_69,East,P597,Sticky Notes,Stationery,2,137.73,0,275.46,92.71
100013,2025-09-17,CUST0014,Customer_14,Central,P139,Marker Pack,Stationery,10,95.92,0,959.2,248.79
100014,2025-01-01,CUST0077,Customer_77,East,P361,Whiteboard,Stationery,1,57.45,0,57.45,13.23
100015,2025-10-18,CUST0011,Customer_11,South,P381,Laptop Stand,Electronics,2,440.27,0.1,792.49,139.61
100016,2025-03-26,CUST0034,Customer_34,East,P620,Hoodie,Apparel,9,341.83,0.15,2615.0,768.23
100017,2025-07-11,CUST0057,Customer_57,Central,P884,T-Shirt,Apparel,4,107.32,0,429.28,190.92
100018,2025-02-06,CUST0008,Customer_8,East,P826,Office Chair,Furniture,1,387.96,0,387.96,124.71
100019,2025-03-09,CUST0074,Customer_74,West,P620,Hoodie,Apparel,8,364.91,0,2919.28,1244.84
100020,2025-01-28,CUST0013,Customer_13,South,P381,Laptop Stand,Electronics,12,157.97,0.2,1516.51,422.12
100021,2025-08-05,CUST0024,Customer_24,Central,P361,Whiteboard,Stationery,4,394.52,0,1578.08,535.31
100022,2025-10-04,CUST0002,Customer_2,West,P283,USB-C Hub,Electronics,3,187.64,0.05,534.77,195.08
100023,2025-01-02,CUST0050,Customer_50,Central,P361,Whiteboard,Stationery,5,194.97,0.15,828.62,49.86
100024,2025-04-08,CUST0038,Customer_38,North,P826,Office Chair,Furniture,10,333.2,0,3332.0,876.34
100025,2025-09-29,CUST0021,Customer_21,South,P361,Webcam,Electronics,2,384.29,0,768.58,231.53
100026,2025-10-19,CUST0032,Customer_32,East,P361,Webcam,Electronics,2,193.3,0.1,347.94,80.68
100027,2025-06-10,CUST0031,Customer_31,north,P361,Whiteboard,Stationery,3,304.89,0,914.67,307.05
100028,2025-10-16,CUST0013,Customer_13,North,P361,Webcam,Electronics,4,231.6,0,926.4,200.74
100029,2025-03-22,CUST0057,Customer_57,East,P139,Marker Pack,Stationery,11,241.79,0.15,2260.74,254.6
100030,2025-03-10,CUST0034,Customer_34,South,P928,Wireless Mouse,Electronics,12,252.52,0,3030.24,1150.16
100031,2025-11-21,CUST0034,Customer_34,north,P915,Cap,Apparel,1,48.8,0.05,46.36,9.4
100032,2025-11-23,CUST0034,Customer_34,North,P566,Filing Cabinet,Furniture,9,319.91,0.1,2591.27,1000.76
100033,2025-03-18,CUST0070,Customer_70,East,P932,Bluetooth Speaker,Electronics,10,252.22,0.05,2396.09,928.52
100034,2025-01-21,CUST0046,Customer_46,West,P519,Standing Desk,Furniture,11,53.43,0.2,470.18,64.66
100035,2025-05-02,CUST0021,Customer_21,West,P566,Filing Cabinet,Furniture,1,87.28,0,87.28,22.2
100036,2025-05-08,CUST0035,Customer_35,South,P826,Office Chair,Furniture,7,393.5,0.2,2203.6,364.5
100037,2025-06-06,CUST0030,Customer_30,North,P826,Office Chair,Furniture,11,93.36,0,1026.96,390.6
100038,2025-11-25,CUST0066,Customer_66,East,P858,Socks Pack,Apparel,6,423.14,0,2538.84,585.81
100039,2025-05-16,CUST0005,Customer_5,Central,P361,Webcam,Electronics,7,160.79,0.2,900.42,193.12
100040,2025-10-23,CUST0025,Customer_25,Central,P033,Notebook Pack,Stationery,12,200.74,0.1,2167.99,285.71
100041,2025-12-10,CUST0026,Customer_26,North,P361,Whiteboard,Stationery,2,427.4,0,854.8,251.49
100042,2025-06-08,CUST0053,Customer_53,West,P361,Whiteboard,Stationery,12,138.68,0,1664.16,669.06
100043,2025-11-12,CUST0073,Customer_73,West,P361,Whiteboard,Stationery,9,376.51,0,3388.59,1281.81
100044,2025-06-14,CUST0060,Customer_60,South,P272,Jacket,Apparel,11,102.46,0.05,1070.71,227.18
100045,2025-12-06,CUST0080,Customer_80,South,P033,Notebook Pack,Stationery,4,305.38,0,1221.52,303.38
100046,2025-09-01,CUST0079,Customer_79,West,P381,Laptop Stand,Electronics,7,399.67,0.1,2517.92,843.2
100047,2025-12-02,CUST0001,Customer_1,North,P381,Laptop Stand,Electronics,4,85.74,0.15,291.52,58.48
100048,2025-03-04,CUST0059,Customer_59,West,P566,Filing Cabinet,Furniture,11,242.76,0.1,2403.32,537.1
100049,2025-09-16,CUST0055,Customer_55,South,P620,Hoodie,Apparel,12,388.78,0.05,4432.09,1563.84
100050,2025-09-24,CUST0063,Customer_63,East,P497,Bookshelf,Furniture,8,42.25,0,338.0,132.29
100051,2025-03-12,CUST0020,Customer_20,West,P566,Filing Cabinet,Furniture,12,75.54,0,906.48,393.36
100052,2025-02-01,CUST0027,Customer_27,Central,P272,Jacket,Apparel,10,-426.16,0,4261.6,1004.96
100053,2025-06-30,CUST0039,Customer_39,South,P272,Jacket,Apparel,9,338.4,0.1,2741.04,456.94
100054,2025-09-06,CUST0004,Customer_4,West,P915,Cap,Apparel,11,308.18,0.05,3220.48,742.25
100055,2025-10-01,CUST0004,Customer_4,South,P858,Socks Pack,Apparel,10,301.05,0,3010.5,870.98
100056,2025-05-14,CUST0049,Customer_49,East,P865,Pen Set,Stationery,8,152.47,0.2,975.81,36.7
100057,2025-05-10,CUST0011,Customer_11,North,P884,T-Shirt,Apparel,12,246.42,0,2957.04,1164.91
100058,2025-01-16,CUST0032,Customer_32,North,P826,Office Chair,Furniture,10,75.35,0,753.5,249.87
100059,2025-12-25,CUST0033,Customer_33,South,P865,Pen Set,Stationery,10,276.4,0.15,2349.4,332.82
100060,2025-01-14,CUST0040,Customer_40,South,P272,Jacket,Apparel,12,95.66,0.1,1033.13,203.58
100061,2025-12-17,CUST0077,Customer_77,North,P361,Webcam,Electronics,1,161.46,0.05,153.39,37.88
100062,2025-08-04,CUST0063,Customer_63,South,P381,Laptop Stand,Electronics,6,288.93,0.2,1386.86,234.14
100063,2025-11-30,CUST0035,Customer_35,South,P272,Jacket,Apparel,7,372.97,0.1,2349.71,738.59
100064,2025-08-19,CUST0032,Customer_32,East,P858,Socks Pack,Apparel,10,303.34,0,3033.4,1343.27
100065,2025-05-13,CUST0044,Customer_44,South,P139,Marker Pack,Stationery,12,397.01,0.1,4287.71,1655.35
100066,2025-09-08,CUST0072,Customer_72,North,P566,Filing Cabinet,Furniture,11,322.63,0.05,3371.48,716.05
100067,2025-05-05,CUST0040,Customer_40,Central,P361,Whiteboard,Stationery,9,242.67,0.05,2074.83,329.45
