txn_id,account_id,amount,currency,txn_ts,channel
T9136,A141,9089.71,EUR,2026-01-15 10:21:38,MOBILE
T9106,A132,10148.76,EUR,2026-01-15 12:14:49,POS
T9104,A159,2799.92,EUR,2026-01-15 18:46:08,ONLINE
T9216,A159,5425.55,USD,2026-01-15 17:18:44,BRANCH
T9062,A154,2457.14,USD,2026-01-15 07:17:17,ONLINE
T9296,A108,17341.62,GBP,2026-01-15 10:05:49,ONLINE
T9074,A119,10364.45,USD,2026-01-15 04:31:14,BRANCH
T9037,A142,4826.31,EUR,2026-01-15 12:33:13,POS
T9071,A128,12848.56,USD,2026-01-15 11:32:33,POS
T9247,A153,15954.72,EUR,2026-01-15 15:57:49,MOBILE
T9189,A144,18289.25,EUR,2026-01-15 17:26:13,ONLINE
T9149,A144,7475.63,EUR,2026-01-15 22:03:15,MOBILE
T9009,A134,10156.26,GBP,2026-01-15 03:40:56,POS
T9261,A106,6969.26,USD,2026-01-15 17:34:58,MOBILE
T9182,A126,8256.49,EUR,2026-01-15 20:28:33,ONLINE
T9095,A141,17647.38,EUR,2026-01-15 21:45:17,BRANCH
T9298,A140,2847.72,USD,2026-01-15 17:49:14,MOBILE
T9069,A145,6189.27,GBP,2026-01-15 02:23:37,POS
T9242,A125,6287.09,INR,2026-01-15 17:26:24,BRANCH
T9043,A112,15067.05,USD,2026-01-15 01:19:59,ATM
T9197,A160,11015.1,EUR,2026-01-15 18:10:44,BRANCH
,A105,200.0,USD,2026-01-15 10:00:00,ATM
T9258,A101,6902.62,USD,2026-01-15 05:29:18,BRANCH
T9148,A108,4386.48,USD,2026-01-15 08:02:27,MOBILE
T9152,A136,1566.66,USD,2026-01-15 13:10:19,POS
T9060,A135,7742.81,USD,2026-01-15 18:51:01,BRANCH
T9210,A125,7464.17,USD,2026-01-15 02:52:37,ONLINE
T9005,A152,15834.28,USD,2026-01-15 23:25:43,POS
T9221,A122,14910.4,USD,2026-01-15 18:13:59,MOBILE
T9012,A102,14425.05,USD,2026-01-15 06:01:37,ONLINE
T9088,A107,4838.55,USD,2026-01-15 11:37:07,ONLINE
T9125,A144,18660.81,USD,2026-01-15 09:52:17,ATM
T9194,A147,17282.38,USD,2026-01-15 20:28:51,BRANCH
T9224,A122,9814.62,EUR,2026-01-15 16:24:14,MOBILE
T9121,A143,2441.87,EUR,2026-01-15 10:28:41,MOBILE
T9207,A144,10046.81,EUR,2026-01-15 00:37:26,ONLINE
T9241,A138,6012.2,INR,2026-01-15 04:57:22,ONLINE
T9102,A102,8030.73,USD,2026-01-15 18:32:11,ONLINE
T9086,A120,17230.39,GBP,2026-01-15 11:22:50,BRANCH
T9096,A106,168.51,USD,2026-01-15 19:32:25,BRANCH
T9046,A131,9926.58,USD,2026-01-15 06:48:06,POS
T9163,A142,1609.6,INR,2026-01-15 13:40:36,ONLINE
T9289,A107,8784.2,GBP,2026-01-15 03:10:01,ONLINE
T9056,A136,7660.17,USD,2026-01-15 13:11:07,ONLINE
T9049,A142,1605.98,USD,2026-01-15 03:44:07,MOBILE
T9176,A117,8274.14,USD,2026-01-15 08:02:52,POS
T9168,A112,3106.65,INR,2026-01-15 12:36:11,ATM
T9161,A111,5745.38,GBP,2026-01-15 01:09:19,MOBILE
T9124,A130,5132.6,USD,2026-01-15 23:52:59,POS
T9244,A150,5609.6,USD,2026-01-15 13:41:30,ATM
T9290,A137,16215.0,EUR,2026-01-15 07:38:29,POS
T9029,A115,2441.36,USD,2026-01-15 10:57:52,POS
T9139,A150,14733.67,USD,2026-01-15 00:30:46,ONLINE
T9085,A113,9687.6,USD,2026-01-15 15:07:56,ONLINE
T9040,A160,14322.32,USD,2026-01-15 02:17:50,BRANCH
T9202,A153,8250.78,EUR,2026-01-15 00:13:56,ATM
T9045,A157,14867.44,INR,2026-01-15 14:33:51,BRANCH
T9256,A144,11162.08,EUR,2026-01-15 18:53:19,MOBILE
T9146,A159,13723.04,INR,2026-01-15 14:45:38,BRANCH
T9280,A152,2735.01,USD,2026-01-15 17:38:38,POS
T9123,A105,19106.5,USD,2026-01-15 10:28:20,MOBILE
T9027,A113,384.98,GBP,2026-01-15 02:53:04,POS
T9119,A119,18830.0,GBP,2026-01-15 08:11:13,ONLINE
T9195,A137,18695.49,GBP,2026-01-15 20:08:43,BRANCH
T9133,A153,8360.61,USD,2026-01-15 06:22:26,ATM
T9079,A157,12491.46,EUR,2026-01-15 23:59:01,POS
T9205,A134,319.56,EUR,2026-01-15 17:45:44,ATM
T9016,A149,15389.92,USD,2026-01-15 16:48:33,POS
T9260,A129,6241.25,GBP,2026-01-15 12:40:56,POS
T9170,A106,4125.6,EUR,2026-01-15 08:45:44,MOBILE
T9299,A140,9042.57,GBP,2026-01-15 13:39:34,ATM
T9204,A159,12756.38,EUR,2026-01-15 22:29:40,MOBILE
T9279,A155,12390.1,USD,2026-01-15 16:25:13,ATM
T9138,A129,3254.07,EUR,2026-01-15 12:02:23,ONLINE
T9169,A126,16190.52,EUR,2026-01-15 01:10:22,ATM
T9020,A110,1682.08,USD,2026-01-15 10:22:43,POS
T9255,A106,2123.36,USD,2026-01-15 15:40:20,POS
T9134,A111,15760.27,INR,2026-01-15 14:27:14,BRANCH
T9294,A160,11456.85,INR,2026-01-15 10:32:03,ATM
T9129,A159,8141.11,INR,2026-01-15 05:45:01,MOBILE
T9291,A139,8566.2,USD,2026-01-15 23:02:18,ONLINE
T9211,A152,6002.99,GBP,2026-01-15 08:13:23,ATM
