txn_id,account_id,amount,txn_date,branch_code
T2000,A107,-4499.78,2026-01-21,BR003
T2001,A114,-2209.24,2026-01-08,BR001
T2002,A134,-3261.22,2026-01-22,BR004
T2003,A101,-3126.1,2026-01-02,BR002
T2004,A138,-4469.28,2026-01-17,BR002
T2005,A134,3390.4,2026-01-23,BR004
T2006,A117,11188.61,2026-01-19,BR001
T2007,A110,8962.79,2026-01-25,BR003
T2008,A109,-693.72,2026-01-09,BR003
T2009,A105,2598.55,2026-01-04,BR003
T2010,A122,7074.52,2026-01-28,BR001
T2011,A129,5724.56,2026-01-24,BR004
T2012,A135,863.57,2026-01-03,BR005
T2013,A123,6547.04,2026-01-29,BR001
T2014,A114,10461.37,2026-01-02,BR001
T2015,A114,12329.67,2026-01-28,BR004
T2016,A129,7713.69,2026-01-09,BR003
T2017,A123,2105.41,2026-01-06,BR003
T2018,A104,7182.62,2026-01-23,BR002
T2019,A115,-1731.95,2026-01-18,BR004
T2020,A140,8763.24,2026-01-09,BR002
T2021,A120,11857.04,2026-01-22,BR001
T2022,A102,11100.92,2026-01-08,BR004
T2023,A104,-780.34,2026-01-09,BR005
T2024,A120,-747.47,2026-01-29,BR004
T2025,A129,-2142.57,2026-01-13,BR002
T2026,A135,5779.55,2026-01-08,BR005
T2027,A137,2988.01,2026-01-14,BR002
T2028,A132,4870.32,2026-01-05,BR001
T2029,A107,-1943.17,2026-01-28,BR002
T2030,A127,6928.18,2026-01-26,BR004
T2031,A138,14922.43,2026-01-13,BR005
T2032,A135,12215.59,2026-01-09,BR001
T2033,A107,8634.21,2026-01-22,BR005
T2034,A117,10371.97,2026-01-25,BR003
T2035,A118,3695.31,2026-01-04,BR004
T2036,A116,14437.76,2026-01-01,BR002
T2037,A106,12410.37,2026-01-17,BR003
T2038,A140,5153.26,2026-01-27,BR002
T2039,A123,10250.22,2026-01-05,BR005
T2040,A133,13369.87,2026-01-31,BR005
T2041,A131,-4610.47,2026-01-11,BR003
T2042,A119,-210.95,2026-01-29,BR002
T2043,A136,13938.99,2026-01-29,BR001
T2044,A131,11320.47,2026-01-24,BR005
T2045,A108,-2432.17,2026-01-25,BR004
T2046,A135,-1697.46,2026-01-31,BR005
T2047,A138,3462.76,2026-01-28,BR002
T2048,A134,10105.3,2026-01-30,BR002
T2049,A119,2979.85,2026-01-23,BR003
T2050,A133,4029.72,2026-01-15,BR002
T2051,A104,1761.71,2026-01-08,BR005
T2052,A114,6768.8,2026-01-18,BR001
T2053,A140,-3822.52,2026-01-03,BR001
T2054,A102,12192.71,2026-01-29,BR001
T2055,A115,569.55,2026-01-17,BR004
T2056,A134,-2353.76,2026-01-07,BR005
T2057,A130,-140.06,2026-01-19,BR004
T2058,A126,-1191.8,2026-01-26,BR001
T2059,A127,2085.95,2026-01-22,BR004
T2060,A103,8467.29,2026-01-15,BR001
T2061,A125,9564.27,2026-01-02,BR001
T2062,A112,-1195.82,2026-01-08,BR004
T2063,A127,-1330.24,2026-01-05,BR004
T2064,A104,3862.61,2026-01-08,BR005
T2065,A103,8042.9,2026-01-04,BR005
T2066,A100,14379.93,2026-01-27,BR002
T2067,A126,4712.82,2026-01-06,BR002
T2068,A125,13048.86,2026-01-28,BR002
T2069,A100,14706.18,2026-01-13,BR003
T2070,A129,704.98,2026-01-30,BR005
T2071,A131,-1904.06,2026-01-22,BR003
T2072,A103,6583.61,2026-01-07,BR005
T2073,A120,-3856.69,2026-01-02,BR005
T2074,A132,13387.74,2026-01-16,BR005
T2075,A103,14215.58,2026-01-06,BR001
T2076,A111,-3629.57,2026-01-28,BR001
T2077,A115,3075.51,2026-01-22,BR005
T2078,A137,6890.38,2026-01-08,BR005
T2079,A126,8147.46,2026-01-03,BR005
T2080,A120,13694.13,2026-01-17,BR002
T2081,A120,-226.28,2026-01-22,BR004
T2082,A119,4144.49,2026-01-05,BR001
T2083,A129,7423.19,2026-01-01,BR005
T2084,A104,5752.69,2026-01-04,BR005
T2085,A108,13665.19,2026-01-09,BR001
T2086,A115,2390.54,2026-01-29,BR002
T2087,A134,9070.8,2026-01-15,BR005
T2088,A133,-4843.54,2026-01-26,BR005
T2089,A106,13778.6,2026-01-10,BR002
T2090,A107,12794.25,2026-01-09,BR005
T2091,A117,635.13,2026-01-05,BR002
T2092,A121,-928.05,2026-01-23,BR003
T2093,A131,22.43,2026-01-17,BR001
T2094,A140,3471.52,2026-01-03,BR003
T2095,A100,1671.13,2026-01-02,BR002
T2096,A116,-1768.36,2026-01-21,BR004
T2097,A127,6218.14,2026-01-18,BR001
T2098,A109,5911.81,2026-01-03,BR003
T2099,A135,-2038.12,2026-01-19,BR002
T2100,A119,2293.03,2026-01-02,BR001
T2101,A122,-798.47,2026-01-29,BR002
T2102,A106,2073.57,2026-01-22,BR005
T2103,A126,14476.74,2026-01-29,BR002
T2104,A115,12292.11,2026-01-30,BR002
T2105,A126,-4504.27,2026-01-29,BR003
T2106,A126,11044.7,2026-01-26,BR002
T2107,A110,10747.49,2026-01-09,BR001
T2108,A102,12171.87,2026-01-13,BR002
T2109,A129,1993.17,2026-01-07,BR002
T2110,A101,8200.66,2026-01-08,BR004
T2111,A117,12287.06,2026-01-11,BR003
T2112,A132,2993.57,2026-01-12,BR005
T2113,A101,-2693.16,2026-01-11,BR003
T2114,A137,14250.69,2026-01-06,BR003
T2115,A106,6931.43,2026-01-02,BR003
T2116,A120,3727.88,2026-01-24,BR005
T2117,A124,12990.09,2026-01-04,BR002
T2118,A102,9175.71,2026-01-09,BR001
T2119,A134,8737.14,2026-01-17,BR002
T2120,A127,-3600.52,2026-01-12,BR003
T2121,A120,8267.75,2026-01-20,BR001
T2122,A119,5142.45,2026-01-24,BR004
T2123,A125,8944.17,2026-01-11,BR005
T2124,A112,3408.93,2026-01-05,BR004
T2125,A111,7310.3,2026-01-22,BR003
T2126,A135,11674.5,2026-01-13,BR003
T2127,A113,3597.76,2026-01-10,BR005
T2128,A120,4299.76,2026-01-20,BR004
T2129,A113,5223.48,2026-01-22,BR002
T2130,A105,675.73,2026-01-22,BR005
T2131,A105,11368.47,2026-01-11,BR002
T2132,A119,-507.19,2026-01-22,BR002
T2133,A101,-4075.73,2026-01-05,BR004
T2134,A104,4108.32,2026-01-20,BR005
T2135,A124,4887.54,2026-01-07,BR002
T2136,A100,12853.2,2026-01-05,BR001
T2137,A127,-623.18,2026-01-25,BR005
T2138,A103,6148.12,2026-01-15,BR001
T2139,A108,11028.33,2026-01-15,BR005
T2140,A138,1345.96,2026-01-18,BR004
T2141,A132,3534.82,2026-01-20,BR005
T2142,A110,9873.11,2026-01-15,BR004
T2143,A116,10035.54,2026-01-15,BR003
T2144,A133,4691.94,2026-01-25,BR002
T2145,A128,-3450.33,2026-01-09,BR003
T2146,A117,1716.95,2026-01-08,BR005
T2147,A108,-1983.39,2026-01-03,BR004
T2148,A109,9128.38,2026-01-23,BR001
T2149,A126,1617.63,2026-01-14,BR004
T2150,A103,-863.31,2026-01-14,BR004
T2151,A137,13921.24,2026-01-13,BR001
T2152,A136,2607.62,2026-01-28,BR001
T2153,A122,972.25,2026-01-31,BR004
T2154,A126,5764.41,2026-01-28,BR005
T2155,A138,12956.23,2026-01-26,BR004
T2156,A117,3716.72,2026-01-08,BR001
T2157,A121,8377.47,2026-01-13,BR004
T2158,A110,11810.11,2026-01-24,BR002
T2159,A134,-4460.67,2026-01-20,BR004
T2160,A136,8260.0,2026-01-19,BR001
T2161,A127,-2286.01,2026-01-21,BR004
T2162,A103,203.13,2026-01-06,BR003
T2163,A129,1536.92,2026-01-07,BR004
T2164,A126,45.43,2026-01-09,BR001
T2165,A101,9980.49,2026-01-16,BR001
T2166,A122,-515.56,2026-01-31,BR001
T2167,A102,10084.66,2026-01-25,BR002
T2168,A101,7426.71,2026-01-07,BR002
T2169,A130,8389.18,2026-01-05,BR005
T2170,A113,4300.68,2026-01-31,BR003
T2171,A123,-1644.22,2026-01-25,BR005
T2172,A107,10555.84,2026-01-31,BR002
T2173,A119,-2838.03,2026-01-31,BR001
T2174,A119,6515.93,2026-01-30,BR004
T2175,A112,-3480.07,2026-01-13,BR002
T2176,A119,12005.86,2026-01-04,BR005
T2177,A107,10924.54,2026-01-26,BR005
T2178,A102,1944.08,2026-01-26,BR004
T2179,A123,-3620.87,2026-01-22,BR003
T2180,A126,11446.62,2026-01-01,BR001
T2181,A123,7711.7,2026-01-14,BR004
T2182,A109,3709.74,2026-01-23,BR005
T2183,A117,7318.25,2026-01-31,BR005
T2184,A130,4297.48,2026-01-25,BR005
T2185,A120,12034.26,2026-01-09,BR001
T2186,A128,-122.73,2026-01-09,BR004
T2187,A139,8363.77,2026-01-19,BR003
T2188,A131,12019.06,2026-01-01,BR002
T2189,A113,2096.5,2026-01-16,BR003
T2190,A117,12606.4,2026-01-11,BR003
T2191,A100,5332.55,2026-01-18,BR002
T2192,A115,9401.49,2026-01-03,BR004
T2193,A115,8812.19,2026-01-18,BR004
T2194,A101,-3138.93,2026-01-15,BR002
T2195,A115,1124.12,2026-01-13,BR005
T2196,A130,6069.46,2026-01-12,BR003
T2197,A135,1615.83,2026-01-14,BR004
T2198,A119,28.07,2026-01-09,BR001
T2199,A112,1310.96,2026-01-24,BR005
